,formula,ionConv,eleConv,fenergy(ev),nofsA,nofsB,nofsC,H,H_per,ratioA,ratioB,ratioC
612,Ti1 V3 Cu1,TRUE,TRUE,-37.82791168 eV,1,3,1,0.3381664000000053,0.06763328000000106,0.2,0.6,0.2
613,Ti1 V4 Cu1,TRUE,TRUE,-46.79585703 eV,1,4,1,0.3178247999999999,0.052970799999999985,0.1667,0.6667,0.1667
614,Ti3 V1 Cu2,FALSE,TRUE,-39.40307711 eV,3,1,2,-0.12083103999999789,-0.020138506666666316,0.5,0.1667,0.3333
615,Ti1 V2 Cu1,TRUE,TRUE,-28.64980978 eV,1,2,1,0.5686645500000043,0.14216613750000107,0.25,0.5,0.25
616,Ti1 V3 Cu2,TRUE,TRUE,-41.16486712 eV,1,3,2,0.6363691300000047,0.10606152166666745,0.1667,0.5,0.3333
617,Ti3 V1 Cu2,TRUE,TRUE,-39.24454515 eV,3,1,2,0.037700919999999805,0.006283486666666634,0.5,0.1667,0.3333
618,Ti1 V2 Cu3,FALSE,TRUE,-36.15276214 eV,1,2,3,0.3360285300000019,0.056004755000000316,0.1667,0.3333,0.5
619,Ti4 V1 Cu1,TRUE,TRUE,-43.35971785 eV,4,1,1,-0.02452129000000136,-0.004086881666666893,0.6667,0.1667,0.1667
620,Ti3 V2 Cu1,TRUE,TRUE,-44.22632585 eV,3,2,1,0.36836579999999897,0.061394299999999825,0.5,0.3333,0.1667
621,Ti4 V1 Cu1,TRUE,TRUE,-43.4679093 eV,4,1,1,-0.132712740000001,-0.022118790000000166,0.6667,0.1667,0.1667
622,Ti2 V2 Cu2,TRUE,TRUE,-39.59596698 eV,2,2,2,0.9457741800000035,0.1576290300000006,0.3333,0.3333,0.3333
623,Ti2 V2 Cu1,TRUE,TRUE,-36.98914985 eV,2,2,1,-0.08256685999999336,-0.016513371999998673,0.4,0.4,0.2
624,Ti1 V1 Cu4,TRUE,TRUE,-30.79489044 eV,1,1,4,0.381454650000002,0.06357577500000033,0.1667,0.1667,0.6667
625,Ti3 V2 Cu1,TRUE,TRUE,-44.25100457 eV,3,2,1,0.3436870800000018,0.0572811800000003,0.5,0.3333,0.1667
626,Ti1 V4 Cu1,TRUE,TRUE,-46.81375778 eV,1,4,1,0.29992404999999733,0.04998734166666622,0.1667,0.6667,0.1667
627,Ti3 V1 Cu2,TRUE,TRUE,-39.14512233 eV,3,1,2,0.13712374000000072,0.022853956666666786,0.5,0.1667,0.3333
628,Ti3 V2 Cu1,TRUE,TRUE,-44.07089073 eV,3,2,1,0.5238009199999989,0.08730015333333314,0.5,0.3333,0.1667
629,Ti2 V2 Cu1,TRUE,TRUE,-36.53119325 eV,2,2,1,0.37538974000000236,0.07507794800000048,0.4,0.4,0.2
630,Ti1 V1 Cu3,TRUE,TRUE,-27.11806183 eV,1,1,3,0.42312509000000276,0.08462501800000055,0.2,0.2,0.6
631,Ti2 V3 Cu1,TRUE,TRUE,-45.16003283 eV,2,3,1,0.6941539100000074,0.11569231833333456,0.3333,0.5,0.1667
632,Ti3 V2 Cu1,TRUE,TRUE,-45.06216228 eV,3,2,1,-0.46747063000000155,-0.07791177166666692,0.5,0.3333,0.1667
633,Ti3 V1 Cu2,TRUE,TRUE,-39.33992014 eV,3,1,2,-0.05767406999999647,-0.009612344999999411,0.5,0.1667,0.3333
634,Ti3 V2 Cu1,TRUE,TRUE,-44.25771874 eV,3,2,1,0.3369729099999996,0.056162151666666604,0.5,0.3333,0.1667
635,Ti1 V2 Cu3,TRUE,TRUE,-36.10545409 eV,1,2,3,0.3833365799999999,0.06388942999999998,0.1667,0.3333,0.5
636,Ti3 V1 Cu2,TRUE,TRUE,-38.91335418 eV,3,1,2,0.36889189000000133,0.061481981666666886,0.5,0.1667,0.3333
637,Ti2 V2 Cu2,FALSE,TRUE,-40.42227955 eV,2,2,2,0.11946161000000455,0.01991026833333409,0.3333,0.3333,0.3333
638,Ti1 V3 Cu2,TRUE,TRUE,-41.54317516 eV,1,3,2,0.25806109000000443,0.0430101816666674,0.1667,0.5,0.3333
639,Ti2 V1 Cu3,TRUE,TRUE,-35.21246692 eV,2,1,3,0.016828660000005158,0.0028047766666675264,0.3333,0.1667,0.5
640,Ti2 V3 Cu1,TRUE,TRUE,-44.93685406 eV,2,3,1,0.9173326800000043,0.15288878000000072,0.3333,0.5,0.1667
641,Ti1 V2 Cu2,TRUE,TRUE,-32.40766869 eV,1,2,2,0.4459638100000012,0.08919276200000023,0.2,0.4,0.4
642,Ti1 V2 Cu2,TRUE,TRUE,-31.9799769 eV,1,2,2,0.873655600000002,0.1747311200000004,0.2,0.4,0.4
643,Ti1 V4 Cu1,TRUE,TRUE,-47.13839054 eV,1,4,1,-0.024708710000002743,-0.004118118333333791,0.1667,0.6667,0.1667
644,Ti2 V1 Cu3,FALSE,TRUE,-34.83360862 eV,2,1,3,0.3956869600000026,0.0659478266666671,0.3333,0.1667,0.5
645,Ti3 V1 Cu1,TRUE,TRUE,-35.43145451 eV,3,1,1,0.21563338999999848,0.043126677999999696,0.6,0.2,0.2
646,Ti1 V3 Cu2,TRUE,TRUE,-41.11139772 eV,1,3,2,0.6898385300000021,0.11497308833333368,0.1667,0.5,0.3333
647,Ti1 V2 Cu3,FALSE,TRUE,-36.12916028 eV,1,2,3,0.3596303900000013,0.05993839833333355,0.1667,0.3333,0.5
648,Ti4 V1 Cu1,TRUE,TRUE,-43.22065181 eV,4,1,1,0.11454475000000164,0.01909079166666694,0.6667,0.1667,0.1667
649,Ti1 V2 Cu3,FALSE,TRUE,-35.78271946 eV,1,2,3,0.7060712099999993,0.11767853499999988,0.1667,0.3333,0.5
650,Ti2 V2 Cu2,TRUE,TRUE,-39.4592579 eV,2,2,2,1.0824832600000063,0.18041387666666772,0.3333,0.3333,0.3333
651,Ti1 V2 Cu2,TRUE,TRUE,-32.13998934 eV,1,2,2,0.7136431600000028,0.14272863200000058,0.2,0.4,0.4
652,Ti1 V1 Cu4,TRUE,TRUE,-30.94276743 eV,1,1,4,0.23357766000000169,0.03892961000000028,0.1667,0.1667,0.6667
653,Ti1 V2 Cu3,FALSE,TRUE,-35.60264922 eV,1,2,3,0.8861414499999984,0.14769024166666642,0.1667,0.3333,0.5
654,Ti2 V3 Cu1,TRUE,TRUE,-45.66131851 eV,2,3,1,0.19286823000000508,0.03214470500000085,0.3333,0.5,0.1667
655,Ti1 V2 Cu3,TRUE,TRUE,-36.15363569 eV,1,2,3,0.33515498000000044,0.055859163333333406,0.1667,0.3333,0.5
656,Ti2 V2 Cu1,TRUE,TRUE,-36.74167455 eV,2,2,1,0.16490844000000449,0.0329816880000009,0.4,0.4,0.2
657,Ti3 V2 Cu1,TRUE,TRUE,-44.46006827 eV,3,2,1,0.1346233800000003,0.022437230000000048,0.5,0.3333,0.1667
658,Ti2 V2 Cu2,TRUE,TRUE,-40.53101049 eV,2,2,2,0.010730670000003606,0.001788445000000601,0.3333,0.3333,0.3333
659,Ti3 V2 Cu1,TRUE,TRUE,-44.67696932 eV,3,2,1,-0.08227766999999675,-0.013712944999999458,0.5,0.3333,0.1667
660,Ti3 V1 Cu2,TRUE,TRUE,-38.74404076 eV,3,1,2,0.538205310000003,0.08970088500000051,0.5,0.1667,0.3333
661,Ti1 V3 Cu2,TRUE,TRUE,-41.32362183 eV,1,3,2,0.477614420000001,0.0796024033333335,0.1667,0.5,0.3333
662,Ti1 V2 Cu2,TRUE,TRUE,-31.95042307 eV,1,2,2,0.9032094300000031,0.1806418860000006,0.2,0.4,0.4
663,Ti2 V3 Cu1,TRUE,TRUE,-45.65610569 eV,2,3,1,0.1980810500000092,0.033013508333334864,0.3333,0.5,0.1667
664,Ti1 V3 Cu2,TRUE,TRUE,-41.69873732 eV,1,3,2,0.1024989300000021,0.01708315500000035,0.1667,0.5,0.3333
665,Ti4 V1 Cu1,TRUE,TRUE,-43.58808249 eV,4,1,1,-0.2528859299999966,-0.04214765499999943,0.6667,0.1667,0.1667
666,Ti1 V3 Cu2,TRUE,TRUE,-41.70174933 eV,1,3,2,0.09948692000000303,0.016581153333333837,0.1667,0.5,0.3333
667,Ti3 V1 Cu2,TRUE,TRUE,-39.4911166 eV,3,1,2,-0.20887052999999778,-0.03481175499999963,0.5,0.1667,0.3333
668,Ti3 V1 Cu2,FALSE,TRUE,-38.97970996 eV,3,1,2,0.30253610999999925,0.05042268499999988,0.5,0.1667,0.3333
669,Ti1 V3 Cu2,TRUE,TRUE,-41.69728454 eV,1,3,2,0.10395171000000314,0.017325285000000523,0.1667,0.5,0.3333
670,Ti2 V1 Cu3,TRUE,TRUE,-35.49351889 eV,2,1,3,-0.2642233099999949,-0.04403721833333248,0.3333,0.1667,0.5
671,Ti3 V1 Cu2,TRUE,TRUE,-39.33747507 eV,3,1,2,-0.0552290000000033,-0.009204833333333884,0.5,0.1667,0.3333
672,Ti2 V1 Cu3,TRUE,TRUE,-35.21263341 eV,2,1,3,0.01666217000000003,0.0027770283333333388,0.3333,0.1667,0.5
