,formula,ionConv,eleConv,fenergy(ev),nofsA,nofsB,nofsC,H,H_per,ratioA,ratioB,ratioC
467,Ti1 V2 Cu3,TRUE,TRUE,-36.11328663 eV,1,2,3,0.3755040400000045,0.06258400666666741,0.1667,0.3333,0.5
468,Ti2 V2 Cu2,TRUE,TRUE,-40.63158893 eV,2,2,2,-0.089847769999996,-0.014974628333332666,0.3333,0.3333,0.3333
469,Ti1 V4 Cu1,TRUE,TRUE,-46.71662218 eV,1,4,1,0.39705964999999876,0.06617660833333312,0.1667,0.6667,0.1667
470,Ti1 V3 Cu1,TRUE,TRUE,-38.08249082 eV,1,3,1,0.08358726000000827,0.016717452000001652,0.2,0.6,0.2
471,Ti4 V1 Cu1,TRUE,TRUE,-43.294092 eV,4,1,1,0.04110456000000218,0.006850760000000363,0.6667,0.1667,0.1667
472,Ti1 V1 Cu3,FALSE,TRUE,-27.5258923 eV,1,1,3,0.015294620000002368,0.0030589240000004738,0.2,0.2,0.6
473,Ti1 V4 Cu1,TRUE,TRUE,-46.30939682 eV,1,4,1,0.804285009999997,0.13404750166666615,0.1667,0.6667,0.1667
474,Ti1 V2 Cu3,FALSE,TRUE,-35.76014757 eV,1,2,3,0.7286431000000011,0.12144051666666685,0.1667,0.3333,0.5
475,Ti2 V1 Cu3,TRUE,TRUE,-35.21450788 eV,2,1,3,0.014787700000002957,0.0024646166666671596,0.3333,0.1667,0.5
476,Ti1 V2 Cu3,TRUE,TRUE,-36.09612503 eV,1,2,3,0.3926656399999988,0.06544427333333314,0.1667,0.3333,0.5
477,Ti4 V1 Cu1,TRUE,TRUE,-43.21622975 eV,4,1,1,0.11896681000000475,0.01982780166666746,0.6667,0.1667,0.1667
478,Ti3 V1 Cu2,TRUE,TRUE,-39.24886305 eV,3,1,2,0.03338302000000315,0.005563836666667192,0.5,0.1667,0.3333
479,Ti2 V3 Cu1,TRUE,TRUE,-45.76319356 eV,2,3,1,0.09099318000000833,0.01516553000000139,0.3333,0.5,0.1667
480,Ti1 V3 Cu2,TRUE,TRUE,-40.72956457 eV,1,3,2,1.0716716800000006,0.17861194666666677,0.1667,0.5,0.3333
481,Ti3 V2 Cu1,TRUE,TRUE,-44.33312932 eV,3,2,1,0.2615623300000034,0.04359372166666723,0.5,0.3333,0.1667
482,Ti3 V1 Cu2,TRUE,TRUE,-39.85929054 eV,3,1,2,-0.5770444700000033,-0.09617407833333387,0.5,0.1667,0.3333
483,Ti1 V2 Cu3,TRUE,TRUE,-36.27370567 eV,1,2,3,0.21508500000000375,0.03584750000000062,0.1667,0.3333,0.5
484,Ti2 V1 Cu1,TRUE,TRUE,-27.73492548 eV,2,1,1,0.22405375999999988,0.05601343999999997,0.5,0.25,0.25
485,Ti2 V1 Cu2,FALSE,TRUE,-31.51915431 eV,2,1,2,0.07498309999999808,0.014996619999999617,0.4,0.2,0.4
486,Ti1 V1 Cu2,TRUE,TRUE,-23.70863276 eV,1,1,2,0.1973959900000013,0.049348997500000324,0.25,0.25,0.5
487,Ti1 V2 Cu3,TRUE,TRUE,-35.49399727 eV,1,2,3,0.9947934000000007,0.1657989000000001,0.1667,0.3333,0.5
488,Ti2 V1 Cu1,TRUE,TRUE,-27.64699689 eV,2,1,1,0.3119823500000005,0.07799558750000013,0.5,0.25,0.25
489,Ti1 V3 Cu2,TRUE,TRUE,-41.53563817 eV,1,3,2,0.26559808000000285,0.04426634666666714,0.1667,0.5,0.3333
490,Ti2 V2 Cu2,TRUE,TRUE,-40.27052327 eV,2,2,2,0.2712178900000053,0.04520298166666755,0.3333,0.3333,0.3333
491,Ti3 V2 Cu1,FALSE,TRUE,-44.59188239 eV,3,2,1,0.0028092599999989254,0.0004682099999998209,0.5,0.3333,0.1667
492,Ti1 V2 Cu1,TRUE,TRUE,-28.90773365 eV,1,2,1,0.31074068000000166,0.07768517000000041,0.25,0.5,0.25
493,Ti4 V1 Cu1,FALSE,TRUE,-43.00849469 eV,4,1,1,0.32670187000000217,0.05445031166666703,0.6667,0.1667,0.1667
494,Ti2 V2 Cu2,FALSE,TRUE,-40.04576771 eV,2,2,2,0.4959734500000037,0.08266224166666729,0.3333,0.3333,0.3333
495,Ti2 V3 Cu1,TRUE,TRUE,-45.51019609 eV,2,3,1,0.34399065000000517,0.05733177500000086,0.3333,0.5,0.1667
496,Ti3 V1 Cu2,TRUE,TRUE,-39.5367437 eV,3,1,2,-0.25449763000000214,-0.042416271666667026,0.5,0.1667,0.3333
497,Ti2 V1 Cu3,FALSE,TRUE,-35.19051738 eV,2,1,3,0.03877819999999943,0.006463033333333239,0.3333,0.1667,0.5
498,Ti1 V1 Cu4,TRUE,TRUE,-31.14243284 eV,1,1,4,0.0339122500000002,0.0056520416666667,0.1667,0.1667,0.6667
499,Ti2 V1 Cu1,TRUE,TRUE,-28.28829711 eV,2,1,1,-0.32931786999999746,-0.08232946749999936,0.5,0.25,0.25
500,Ti3 V1 Cu2,TRUE,TRUE,-38.64389193 eV,3,1,2,0.6383541399999979,0.10639235666666631,0.5,0.1667,0.3333
501,Ti1 V3 Cu2,TRUE,TRUE,-40.88697152 eV,1,3,2,0.9142647299999984,0.15237745499999975,0.1667,0.5,0.3333
502,Ti1 V1 Cu4,TRUE,TRUE,-30.82360152 eV,1,1,4,0.3527435700000012,0.0587905950000002,0.1667,0.1667,0.6667
503,Ti2 V3 Cu1,TRUE,TRUE,-46.28750255 eV,2,3,1,-0.4333158099999932,-0.07221930166666553,0.3333,0.5,0.1667
504,Ti3 V2 Cu1,TRUE,TRUE,-44.36867819 eV,3,2,1,0.22601346000000389,0.037668910000000645,0.5,0.3333,0.1667
505,Ti3 V1 Cu2,TRUE,TRUE,-39.20982551 eV,3,1,2,0.07242055999999852,0.012070093333333087,0.5,0.1667,0.3333
506,Ti2 V2 Cu2,TRUE,TRUE,-40.14276169 eV,2,2,2,0.3989794700000031,0.06649657833333385,0.3333,0.3333,0.3333
507,Ti2 V1 Cu3,TRUE,TRUE,-35.28544633 eV,2,1,3,-0.05615074999999692,-0.00935845833333282,0.3333,0.1667,0.5
508,Ti1 V3 Cu2,TRUE,TRUE,-41.20586171 eV,1,3,2,0.5953745400000008,0.09922909000000013,0.1667,0.5,0.3333
509,Ti3 V2 Cu1,TRUE,TRUE,-44.57250947 eV,3,2,1,0.02218218000000105,0.0036970300000001752,0.5,0.3333,0.1667
510,Ti2 V1 Cu2,TRUE,TRUE,-31.67653905 eV,2,1,2,-0.08240163999999961,-0.016480327999999923,0.4,0.2,0.4
511,Ti1 V1 Cu3,TRUE,TRUE,-27.10977433 eV,1,1,3,0.43141259000000076,0.08628251800000016,0.2,0.2,0.6
512,Ti2 V2 Cu2,TRUE,TRUE,-39.94435553 eV,2,2,2,0.5973856300000007,0.09956427166666677,0.3333,0.3333,0.3333
513,Ti3 V1 Cu2,FALSE,TRUE,-39.32342556 eV,3,1,2,-0.041179489999996655,-0.006863248333332776,0.5,0.1667,0.3333
514,Ti1 V4 Cu1,TRUE,TRUE,-46.7485266 eV,1,4,1,0.3651552300000023,0.06085920500000038,0.1667,0.6667,0.1667
515,Ti2 V3 Cu1,TRUE,TRUE,-45.68030097 eV,2,3,1,0.1738857700000085,0.02898096166666808,0.3333,0.5,0.1667
516,Ti2 V2 Cu2,TRUE,TRUE,-40.08998668 eV,2,2,2,0.45175448000000085,0.07529241333333347,0.3333,0.3333,0.3333
517,Ti1 V2 Cu1,TRUE,TRUE,-29.16736735 eV,1,2,1,0.051106980000003244,0.012776745000000811,0.25,0.5,0.25
518,Ti2 V1 Cu3,FALSE,TRUE,-34.80892118 eV,2,1,3,0.4203744000000036,0.0700624000000006,0.3333,0.1667,0.5
519,Ti2 V3 Cu1,TRUE,TRUE,-45.36012285 eV,2,3,1,0.4940638900000027,0.08234398166666712,0.3333,0.5,0.1667
520,Ti2 V3 Cu1,TRUE,TRUE,-45.33234795 eV,2,3,1,0.521838790000007,0.08697313166666783,0.3333,0.5,0.1667
521,Ti2 V2 Cu2,TRUE,TRUE,-40.24870288 eV,2,2,2,0.2930382800000002,0.04883971333333337,0.3333,0.3333,0.3333
522,Ti2 V2 Cu2,TRUE,TRUE,-40.41759964 eV,2,2,2,0.12414152000000467,0.020690253333334113,0.3333,0.3333,0.3333
523,Ti1 V3 Cu1,TRUE,TRUE,-37.57026246 eV,1,3,1,0.5958156200000029,0.11916312400000058,0.2,0.6,0.2
524,Ti2 V1 Cu2,TRUE,TRUE,-31.12498472 eV,2,1,2,0.4691526900000005,0.0938305380000001,0.4,0.2,0.4
525,Ti1 V2 Cu2,TRUE,TRUE,-33.19955513 eV,1,2,2,-0.3459226299999978,-0.06918452599999955,0.2,0.4,0.4
526,Ti2 V2 Cu2,TRUE,TRUE,-40.40971771 eV,2,2,2,0.13202345000000104,0.022003908333333506,0.3333,0.3333,0.3333
527,Ti2 V2 Cu2,TRUE,TRUE,-40.22458118 eV,2,2,2,0.31715998000000223,0.05285999666666704,0.3333,0.3333,0.3333
528,Ti3 V2 Cu1,TRUE,TRUE,-44.06103587 eV,3,2,1,0.5336557800000032,0.08894263000000054,0.5,0.3333,0.1667
529,Ti1 V3 Cu2,TRUE,TRUE,-41.6396357 eV,1,3,2,0.16160055000000195,0.026933425000000327,0.1667,0.5,0.3333
530,Ti2 V2 Cu2,TRUE,TRUE,-40.40632159 eV,2,2,2,0.13541957000000604,0.02256992833333434,0.3333,0.3333,0.3333
531,Ti4 V1 Cu1,FALSE,TRUE,-43.09980984 eV,4,1,1,0.23538672000000238,0.0392311200000004,0.6667,0.1667,0.1667
532,Ti1 V3 Cu2,TRUE,TRUE,-41.4327438 eV,1,3,2,0.3684924500000042,0.06141540833333403,0.1667,0.5,0.3333
533,Ti2 V2 Cu2,TRUE,TRUE,-40.6339044 eV,2,2,2,-0.0921632399999952,-0.015360539999999201,0.3333,0.3333,0.3333
534,Ti2 V2 Cu2,FALSE,TRUE,-40.36051001 eV,2,2,2,0.18123115000000478,0.030205191666667464,0.3333,0.3333,0.3333
535,Ti1 V1 Cu3,TRUE,TRUE,-27.3325395 eV,1,1,3,0.20864742000000192,0.041729484000000386,0.2,0.2,0.6
536,Ti1 V2 Cu3,TRUE,TRUE,-36.10720574 eV,1,2,3,0.38158493000000426,0.06359748833333405,0.1667,0.3333,0.5
537,Ti1 V2 Cu2,TRUE,TRUE,-32.3802658 eV,1,2,2,0.4733667000000059,0.09467334000000119,0.2,0.4,0.4
538,Ti2 V1 Cu3,TRUE,TRUE,-35.26322272 eV,2,1,3,-0.03392713999999941,-0.005654523333333235,0.3333,0.1667,0.5
539,Ti2 V3 Cu1,TRUE,TRUE,-45.8980683 eV,2,3,1,-0.04388155999999244,-0.007313593333332073,0.3333,0.5,0.1667
540,Ti1 V1 Cu4,TRUE,TRUE,-30.50876439 eV,1,1,4,0.667580700000002,0.11126345000000033,0.1667,0.1667,0.6667
