POSCAR_FILE, formular, ion_conv, ele_conv, final_energy, out_dir
./str/POSCAR_S_nc60xfqb.vasp, Ti1 V2 Cu3, True, True, -35.62127163 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_RSOM18
./str/POSCAR_S__7tiv4yk.vasp, Ti1 V3 Cu2, True, True, -41.20174577 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_ST6KIS
./str/POSCAR_S_lilif8qb.vasp, Ti2 V2 Cu2, True, True, -40.31702148 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_QYBT8K
./str/POSCAR_S_x2dj8_sn.vasp, Ti3 V2 Cu1, True, True, -44.66759332 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_FU6ZO1
./str/POSCAR_S_2ddwn8kw.vasp, Ti2 V1 Cu3, True, True, -35.1724117 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_8WPGIR
./str/POSCAR_S_pskzxxsv.vasp, Ti2 V2 Cu2, False, True, -40.38323563 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_HITG8S
./str/POSCAR_S_bh96dy6a.vasp, Ti1 V2 Cu3, True, True, -35.70522853 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_E0OD09
./str/POSCAR_S__o37wl78.vasp, Ti3 V2 Cu1, True, True, -44.29883405 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_GWK5HY
./str/POSCAR_S_tokjn0jb.vasp, Ti2 V3 Cu1, True, True, -45.61898213 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_61F0XE
./str/POSCAR_S_e0vj9pmj.vasp, Ti2 V2 Cu2, True, True, -40.0120088 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_1W75R9
./str/POSCAR_S_lt_mfpv_.vasp, Ti1 V1 Cu2, True, True, -23.50219492 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_DKCGIS
./str/POSCAR_S_6ah6jnfd.vasp, Ti1 V3 Cu2, True, True, -40.9982719 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_PCIFM9
./str/POSCAR_S_796mudmd.vasp, Ti2 V2 Cu2, True, True, -40.14370039 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_UIJ3KQ
./str/POSCAR_S_zwmgsav4.vasp, Ti1 V1 Cu4, True, True, -30.98969888 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_R2CK6J
./str/POSCAR_S_c6k4ohna.vasp, Ti1 V3 Cu2, True, True, -41.4247925 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_UDLGXG
./str/POSCAR_S_pkf4zk4v.vasp, Ti1 V4 Cu1, True, True, -46.84939178 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_E335EA
./str/POSCAR_S_du78spoe.vasp, Ti2 V3 Cu1, True, True, -45.65380965 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_2BKZKO
./str/POSCAR_S_cllnj7na.vasp, Ti2 V1 Cu2, True, True, -31.49057641 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_HES6TP
./str/POSCAR_S_t8itxuh2.vasp, Ti3 V2 Cu1, True, True, -44.81402873 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_6FQORX
