2	1	1	0.2922303	0.073057575	0.5	0.25	0.25
3	2	1	-0.05422876	-0.009038127	0.5	0.3333	0.1667
1	2	1	0.25857268	0.06464317	0.25	0.5	0.25
4	1	1	0.0030511	0.000508517	0.6667	0.1667	0.1667
1	3	2	0.74802345	0.124670575	0.1667	0.5	0.3333
2	2	1	0.53207806	0.106415612	0.4	0.4	0.2
2	2	2	1.03991143	0.173318572	0.3333	0.3333	0.3333
3	1	2	0.11295365	0.018825608	0.5	0.1667	0.3333
3	1	2	0.22378535	0.037297558	0.5	0.1667	0.3333
1	3	2	0.44729439	0.074549065	0.1667	0.5	0.3333
3	2	1	0.17953097	0.029921828	0.5	0.3333	0.1667
1	1	2	0.36234498	0.090586245	0.25	0.25	0.5
1	1	4	0.74818277	0.124697128	0.1667	0.1667	0.6667
2	1	3	0.28310031	0.047183385	0.3333	0.1667	0.5
1	2	2	0.18220757	0.036441514	0.2	0.4	0.4
2	2	2	0.13129614	0.02188269	0.3333	0.3333	0.3333
3	2	1	0.05630921	0.009384868	0.5	0.3333	0.1667
2	2	2	-0.03070745	-0.005117908	0.3333	0.3333	0.3333
3	2	1	0.45162168	0.07527028	0.5	0.3333	0.1667
2	2	2	0.00537539	0.000895898	0.3333	0.3333	0.3333
1	1	4	0.21061008	0.03510168	0.1667	0.1667	0.6667
1	2	3	0.50907786	0.08484631	0.1667	0.3333	0.5
2	1	2	0.47055491	0.094110982	0.4	0.2	0.4
1	1	4	0.24120025	0.040200042	0.1667	0.1667	0.6667
1	2	3	0.32480502	0.05413417	0.1667	0.3333	0.5
3	2	1	-0.01229441	-0.002049068	0.5	0.3333	0.1667
1	2	3	-0.1917057	-0.03195095	0.1667	0.3333	0.5
1	1	1	0.15005859	0.05001953	0.3333	0.3333	0.3333
2	3	1	-0.17466134	-0.029110223	0.3333	0.5	0.1667
2	1	3	0.33433796	0.055722993	0.3333	0.1667	0.5
2	3	1	0.03562559	0.005937598	0.3333	0.5	0.1667
2	1	3	0.33658256	0.056097093	0.3333	0.1667	0.5
2	2	2	0.21806864	0.036344773	0.3333	0.3333	0.3333
1	3	2	-0.0080368	-0.001339467	0.1667	0.5	0.3333
2	2	2	0.68948762	0.114914603	0.3333	0.3333	0.3333
2	3	1	-0.06731029	-0.011218382	0.3333	0.5	0.1667
1	3	2	0.2733142	0.045552367	0.1667	0.5	0.3333
2	2	2	0.47019165	0.078365275	0.3333	0.3333	0.3333
2	2	2	0.25462775	0.042437958	0.3333	0.3333	0.3333
2	2	1	0.28388044	0.056776088	0.4	0.4	0.2
1	4	1	0.26565882	0.04427647	0.1667	0.6667	0.1667
2	3	1	0.53158513	0.088597522	0.3333	0.5	0.1667
1	2	1	0.33696224	0.08424056	0.25	0.5	0.25
1	2	3	0.46529415	0.077549025	0.1667	0.3333	0.5
2	1	3	0.49274279	0.082123798	0.3333	0.1667	0.5
2	1	3	0.3705999	0.06176665	0.3333	0.1667	0.5
3	1	2	0.05021809	0.008369682	0.5	0.1667	0.3333
2	1	3	0.27323917	0.045539862	0.3333	0.1667	0.5
1	2	1	0.29072867	0.072682168	0.25	0.5	0.25
1	3	2	1.07794015	0.179656692	0.1667	0.5	0.3333
2	1	3	0.48074181	0.080123635	0.3333	0.1667	0.5
3	1	2	0.29528757	0.049214595	0.5	0.1667	0.3333
1	2	1	0.35225161	0.088062903	0.25	0.5	0.25
3	2	1	0.04766652	0.00794442	0.5	0.3333	0.1667
2	2	2	0.16484735	0.027474558	0.3333	0.3333	0.3333
1	1	4	0.13120249	0.021867082	0.1667	0.1667	0.6667
1	2	2	0.34906351	0.069812702	0.2	0.4	0.4
2	1	3	0.20175862	0.033626437	0.3333	0.1667	0.5
3	2	1	0.51381384	0.08563564	0.5	0.3333	0.1667
1	1	1	0.54211178	0.180703927	0.3333	0.3333	0.3333
1	3	2	0.60550486	0.100917477	0.1667	0.5	0.3333
2	1	3	0.10376219	0.017293698	0.3333	0.1667	0.5
3	1	2	0.06395877	0.010659795	0.5	0.1667	0.3333
2	3	1	-0.08459204	-0.014098673	0.3333	0.5	0.1667
2	2	2	0.20727905	0.034546508	0.3333	0.3333	0.3333
3	1	2	0.258724	0.043120667	0.5	0.1667	0.3333
1	3	2	0.48937218	0.08156203	0.1667	0.5	0.3333
1	2	3	0.47700491	0.079500818	0.1667	0.3333	0.5
2	2	2	0.54241368	0.09040228	0.3333	0.3333	0.3333
3	1	2	-0.15855902	-0.026426503	0.5	0.1667	0.3333
2	2	2	0.34344599	0.057240998	0.3333	0.3333	0.3333
3	2	1	0.28027024	0.046711707	0.5	0.3333	0.1667
1	1	4	0.36884205	0.061473675	0.1667	0.1667	0.6667
2	1	3	0.50290272	0.08381712	0.3333	0.1667	0.5
2	3	1	0.52449943	0.087416572	0.3333	0.5	0.1667
2	2	2	-0.27880752	-0.04646792	0.3333	0.3333	0.3333
1	3	2	0.35829276	0.05971546	0.1667	0.5	0.3333
2	2	2	-0.11811656	-0.019686093	0.3333	0.3333	0.3333
1	4	1	0.51420255	0.085700425	0.1667	0.6667	0.1667
2	1	3	0.23470368	0.03911728	0.3333	0.1667	0.5
2	2	1	0.01017093	0.002034186	0.4	0.4	0.2
2	2	2	0.26464273	0.044107122	0.3333	0.3333	0.3333
2	2	2	0.20790608	0.034651013	0.3333	0.3333	0.3333
